threshold,min_area_pixels,val_images,miou_binary,iou_damage,iou_background,dice_damage,precision,recall,pixel_acc,pred_positive_ratio_percent,gt_positive_ratio_percent,false_positive_ratio_percent,avg_components_per_image,tp,fp,fn,tn
0.35,0,10,0.793611,0.697273,0.889948,0.821639,0.846818,0.797914,0.912203,23.880412,25.344035,3.658040,4.800000,198794,35960,50348,697938
0.35,30,10,0.793557,0.697168,0.889946,0.821566,0.847007,0.797609,0.912193,23.865967,25.344035,3.651326,1.700000,198718,35894,50424,698004
0.35,60,10,0.793455,0.697014,0.889896,0.821459,0.846978,0.797433,0.912148,23.861491,25.344035,3.651326,1.600000,198674,35894,50468,698004
0.35,120,10,0.793734,0.697373,0.890096,0.821708,0.847595,0.797357,0.912306,23.841858,25.344035,3.633626,1.400000,198655,35720,50487,698178
0.35,180,10,0.793441,0.696925,0.889957,0.821397,0.847550,0.796811,0.912180,23.826803,25.344035,3.632406,1.300000,198519,35708,50623,698190
0.35,240,10,0.793240,0.696592,0.889887,0.821166,0.847735,0.796213,0.912107,23.803711,25.344035,3.624471,1.200000,198370,35630,50772,698268
0.40,0,10,0.798868,0.703467,0.894269,0.825924,0.863808,0.791223,0.915471,23.214417,25.344035,3.161621,3.300000,197127,31080,52015,702818
0.40,30,10,0.798805,0.703354,0.894255,0.825846,0.863944,0.790967,0.915453,23.203227,25.344035,3.156942,1.600000,197063,31034,52079,702864
0.40,60,10,0.798805,0.703354,0.894255,0.825846,0.863944,0.790967,0.915453,23.203227,25.344035,3.156942,1.600000,197063,31034,52079,702864
0.40,120,10,0.798921,0.703472,0.894369,0.825927,0.864510,0.790641,0.915535,23.178507,25.344035,3.140462,1.300000,196982,30872,52160,703026
0.40,180,10,0.798744,0.703191,0.894297,0.825734,0.864585,0.790224,0.915466,23.164266,25.344035,3.136800,1.200000,196878,30836,52264,703062
0.40,240,10,0.798744,0.703191,0.894297,0.825734,0.864585,0.790224,0.915466,23.164266,25.344035,3.136800,1.200000,196878,30836,52264,703062
0.45,0,10,0.802431,0.707396,0.897465,0.828626,0.878897,0.783794,0.917833,22.601624,25.344035,2.737122,3.600000,195276,26907,53866,706991
0.45,30,10,0.802308,0.707198,0.897419,0.828490,0.878985,0.783481,0.917788,22.590332,25.344035,2.733765,1.700000,195198,26874,53944,707024
0.45,60,10,0.802381,0.707294,0.897469,0.828555,0.879153,0.783465,0.917827,22.585551,25.344035,2.729390,1.600000,195194,26831,53948,707067
0.45,120,10,0.802856,0.707926,0.897787,0.828989,0.880175,0.783429,0.918082,22.558289,25.344035,2.703044,1.300000,195185,26572,53957,707326
0.45,180,10,0.803119,0.708273,0.897965,0.829227,0.880758,0.783393,0.918223,22.542318,25.344035,2.687988,1.200000,195176,26424,53966,707474
0.45,240,10,0.803119,0.708273,0.897965,0.829227,0.880758,0.783393,0.918223,22.542318,25.344035,2.687988,1.200000,195176,26424,53966,707474
0.50,0,10,0.805094,0.710191,0.899998,0.830540,0.892509,0.776617,0.919681,22.053121,25.344035,2.370504,3.300000,193488,23303,55654,710595
0.50,30,10,0.805058,0.710126,0.899990,0.830495,0.892602,0.776469,0.919671,22.046611,25.344035,2.367757,1.600000,193451,23276,55691,710622
0.50,60,10,0.805238,0.710366,0.900111,0.830660,0.893019,0.776441,0.919767,22.035522,25.344035,2.357381,1.400000,193444,23174,55698,710724
0.50,120,10,0.805550,0.710782,0.900319,0.830944,0.893724,0.776405,0.919933,22.017110,25.344035,2.339884,1.200000,193435,23002,55707,710896
0.50,180,10,0.805550,0.710782,0.900319,0.830944,0.893724,0.776405,0.919933,22.017110,25.344035,2.339884,1.200000,193435,23002,55707,710896
0.50,240,10,0.805353,0.710455,0.900252,0.830720,0.893968,0.775831,0.919865,21.994832,25.344035,2.332153,1.100000,193292,22926,55850,710972
0.55,0,10,0.806614,0.711380,0.901848,0.831352,0.905254,0.768606,0.920968,21.518351,25.344035,2.038778,2.700000,191492,20042,57650,713856
0.55,30,10,0.806601,0.711344,0.901858,0.831328,0.905436,0.768433,0.920972,21.509196,25.344035,2.033997,1.600000,191449,19995,57693,713903
0.55,60,10,0.806722,0.711506,0.901938,0.831439,0.905721,0.768417,0.921036,21.501973,25.344035,2.027181,1.400000,191445,19928,57697,713970
0.55,120,10,0.807025,0.711910,0.902140,0.831715,0.906449,0.768365,0.921196,21.483256,25.344035,2.009786,1.200000,191432,19757,57710,714141
0.55,180,10,0.806913,0.711722,0.902105,0.831586,0.906629,0.768016,0.921160,21.469218,25.344035,2.004598,1.100000,191345,19706,57797,714192
0.55,240,10,0.806913,0.711722,0.902105,0.831586,0.906629,0.768016,0.921160,21.469218,25.344035,2.004598,1.100000,191345,19706,57797,714192
0.60,0,10,0.807248,0.711315,0.903181,0.831308,0.917400,0.759988,0.921829,20.995382,25.344035,1.734212,3.900000,189345,17048,59797,716850
